Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Mi;07.09.2016;19:45;ZSC Lions;HC Ambri-Piotta; 2:1; 0:0|0:0|1:1|1:0;OT;Ende;False;Hallenstadion, 8050 Zürich ZH;8433;20171105071180;NL A;CH;Regular Season
Fr;09.09.2016;19:45;HC Ambri-Piotta;HC Davos; 2:3; 1:2|0:0|1:0|0:1;OT;Ende;False;Stadio Valascia, 6775 Ambri TI;6153;20171105071001;NL A;CH;Regular Season
Fr;09.09.2016;19:45;SC Bern;SCL Tigers; 6:2; 4:1|1:1|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;17031;20171105071002;NL A;CH;Regular Season
Fr;09.09.2016;19:45;EHC Biel-Bienne;Lausanne HC; 1:2; 0:1|1:1|0:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4451;20171105071003;NL A;CH;Regular Season
Fr;09.09.2016;19:45;ZSC Lions;EHC Kloten; 2:3; 1:0|1:2|0:0|0:1;SO;Ende;False;Hallenstadion, 8050 Zürich ZH;9091;20171105071005;NL A;CH;Regular Season
Fr;09.09.2016;19:45;EV Zug;HC Lugano; 4:3; 0:1|3:0|1:2;;Ende;False;BOSSARD Arena, 6303 Zug;6716;20171105071006;NL A;CH;Regular Season
Fr;09.09.2016;19:50;Fribourg-Gottéron;Genève-Servette HC; 3:2; 0:0|2:0|0:2|1:0;OT;Ende;False;BCF Arena, 1700 Fribourg FR;5775;20171105071004;NL A;CH;Regular Season
Sa;10.09.2016;19:45;HC Davos;EV Zug; 3:2; 1:0|1:2|1:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4569;20171105071007;NL A;CH;Regular Season
Sa;10.09.2016;19:45;Genève-Servette HC;EHC Biel-Bienne; 1:3; 0:0|1:2|0:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;5549;20171105071008;NL A;CH;Regular Season
Sa;10.09.2016;19:45;EHC Kloten;SC Bern; 4:0; 2:0|1:0|1:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;5117;20171105071009;NL A;CH;Regular Season
Sa;10.09.2016;19:45;Lausanne HC;Fribourg-Gottéron; 6:4; 2:1|2:3|2:0;;Ende;False;P. de Malley, 1008 Lausanne VD;6347;20171105071010;NL A;CH;Regular Season
Sa;10.09.2016;19:45;SCL Tigers;ZSC Lions; 1:2; 0:0|0:0|1:2;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5504;20171105071012;NL A;CH;Regular Season
Sa;10.09.2016;20:30;HC Lugano;HC Ambri-Piotta; 5:3; 0:0|2:1|3:2;;Ende;False;Piste Resega, 6948 Porza Ti;7581;20171105071011;NL A;CH;Regular Season
Di;13.09.2016;19:45;SC Bern;HC Ambri-Piotta; 2:1; 1:0|0:1|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;15021;20171105071013;NL A;CH;Regular Season
Di;13.09.2016;19:45;EHC Biel-Bienne;HC Davos; 6:2; 2:1|2:1|2:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4633;20171105071014;NL A;CH;Regular Season
Di;13.09.2016;19:45;Genève-Servette HC;SCL Tigers; 3:2; 0:0|2:0|0:2|1:0;OT;Ende;False;Les Vernets, 1227 Les Acacias GE;5139;20171105071015;NL A;CH;Regular Season
Di;13.09.2016;19:45;Lausanne HC;EHC Kloten; 5:1; 1:1|2:0|2:0;;Ende;False;P. de Malley, 1008 Lausanne VD;5576;20171105071016;NL A;CH;Regular Season
Di;13.09.2016;19:45;HC Lugano;Fribourg-Gottéron; 3:1; 0:1|1:0|2:0;;Ende;False;Piste Resega, 6948 Porza Ti;5148;20171105071017;NL A;CH;Regular Season
Di;13.09.2016;19:45;EV Zug;ZSC Lions; 3:2; 1:0|1:1|1:1;;Ende;False;BOSSARD Arena, 6303 Zug;5146;20171105071018;NL A;CH;Regular Season
Fr;16.09.2016;19:45;HC Ambri-Piotta;Genève-Servette HC; 1:4; 0:1|1:3|0:0;;Ende;False;Stadio Valascia, 6775 Ambri TI;5198;20171105071019;NL A;CH;Regular Season
Fr;16.09.2016;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 4:3; 1:2|2:1|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5506;20171105071021;NL A;CH;Regular Season
Fr;16.09.2016;19:45;EHC Kloten;HC Lugano; 3:2; 2:1|1:1|0:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;4912;20171105071022;NL A;CH;Regular Season
Fr;16.09.2016;19:45;SCL Tigers;EV Zug; 3:4; 2:0|1:0|0:4;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5483;20171105071023;NL A;CH;Regular Season
Fr;16.09.2016;19:45;ZSC Lions;Lausanne HC; 2:1; 1:0|0:1|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;7863;20171105071024;NL A;CH;Regular Season
Sa;17.09.2016;19:45;SC Bern;ZSC Lions; 2:4; 0:1|0:0|2:3;;Ende;False;PostFinance-Arena, 3014 Bern BE;16365;20171105071025;NL A;CH;Regular Season
Sa;17.09.2016;19:45;EHC Biel-Bienne;HC Ambri-Piotta; 5:1; 1:1|3:0|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5139;20171105071026;NL A;CH;Regular Season
Sa;17.09.2016;19:45;Genève-Servette HC;EHC Kloten; 3:4; 1:0|1:1|1:2|0:1;SO;Ende;False;Les Vernets, 1227 Les Acacias GE;5536;20171105071027;NL A;CH;Regular Season
Sa;17.09.2016;19:45;Lausanne HC;Fribourg-Gottéron; 2:0; 0:0|0:0|2:0;;Ende;False;P. de Malley, 1008 Lausanne VD;6987;20171105071028;NL A;CH;Regular Season
Sa;17.09.2016;19:45;HC Lugano;SCL Tigers; 4:3; 1:1|0:1|3:1;;Ende;False;Piste Resega, 6948 Porza Ti;5738;20171105071029;NL A;CH;Regular Season
Sa;17.09.2016;19:45;EV Zug;HC Davos; 2:1; 0:0|1:1|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;6688;20171105071030;NL A;CH;Regular Season
So;18.09.2016;15:45;HC Davos;SC Bern; 1:4; 1:1|0:1|0:2;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;5114;20171105071020;NL A;CH;Regular Season
Di;20.09.2016;19:45;HC Ambri-Piotta;EV Zug; 4:3; 0:1|1:0|2:2|1:0;SO;Ende;False;Stadio Valascia, 6775 Ambri TI;4025;20171105071031;NL A;CH;Regular Season
Di;20.09.2016;19:45;EHC Biel-Bienne;Genève-Servette HC; 4:1; 0:0|1:0|3:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4384;20171105071032;NL A;CH;Regular Season
Di;20.09.2016;19:45;Fribourg-Gottéron;SC Bern; 2:3; 1:1|0:1|1:0|0:1;OT;Ende;False;BCF Arena, 1700 Fribourg FR;5730;20171105071033;NL A;CH;Regular Season
Di;20.09.2016;19:45;EHC Kloten;HC Davos; 5:6; 2:2|2:0|1:3|0:1;OT;Ende;False;SWISS Arena, 8302 Kloten ZH;5076;20171105071034;NL A;CH;Regular Season
Di;20.09.2016;19:45;SCL Tigers;Lausanne HC; 0:5; 0:3|0:1|0:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5180;20171105071035;NL A;CH;Regular Season
Di;20.09.2016;19:45;ZSC Lions;HC Lugano; 4:1; 2:1|2:0|0:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;7979;20171105071036;NL A;CH;Regular Season
Fr;23.09.2016;19:45;SC Bern;Lausanne HC; 2:3; 0:1|2:1|0:0|0:1;OT;Ende;False;PostFinance-Arena, 3014 Bern BE;15567;20171105071037;NL A;CH;Regular Season
Fr;23.09.2016;19:45;Genève-Servette HC;Fribourg-Gottéron; 3:2; 1:0|1:2|0:0|1:0;OT;Ende;False;Les Vernets, 1227 Les Acacias GE;5762;20171105071039;NL A;CH;Regular Season
Fr;23.09.2016;19:45;EHC Kloten;HC Ambri-Piotta; 3:4; 1:3|2:0|0:0|0:1;OT;Ende;False;SWISS Arena, 8302 Kloten ZH;4708;20171105071040;NL A;CH;Regular Season
Fr;23.09.2016;19:45;SCL Tigers;ZSC Lions; 1:3; 0:0|1:2|0:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5349;20171105071041;NL A;CH;Regular Season
Fr;23.09.2016;19:45;EV Zug;EHC Biel-Bienne; 3:2; 0:0|2:2|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;5227;20171105071042;NL A;CH;Regular Season
Sa;24.09.2016;19:45;HC Ambri-Piotta;SCL Tigers; 3:2; 1:1|1:1|0:0|1:0;SO;Ende;False;Stadio Valascia, 6775 Ambri TI;5371;20171105071043;NL A;CH;Regular Season
Sa;24.09.2016;19:45;EHC Biel-Bienne;SC Bern; 4:1; 1:1|3:0|0:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6180;20171105071044;NL A;CH;Regular Season
Sa;24.09.2016;19:45;Fribourg-Gottéron;HC Davos; 2:4; 1:1|1:1|0:2;;Ende;False;BCF Arena, 1700 Fribourg FR;5678;20171105071045;NL A;CH;Regular Season
Sa;24.09.2016;19:45;Lausanne HC;EV Zug; 3:2; 1:1|1:0|1:1;;Ende;False;P. de Malley, 1008 Lausanne VD;6167;20171105071046;NL A;CH;Regular Season
Sa;24.09.2016;19:45;HC Lugano;Genève-Servette HC; 2:5; 1:2|0:2|1:1;;Ende;False;Piste Resega, 6948 Porza Ti;5450;20171105071047;NL A;CH;Regular Season
Sa;24.09.2016;19:45;ZSC Lions;EHC Kloten; 1:2; 0:1|1:0|0:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;9218;20171105071048;NL A;CH;Regular Season
So;25.09.2016;15:45;HC Davos;HC Lugano; 4:3; 0:0|1:1|2:2|1:0;OT;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4306;20171105071038;NL A;CH;Regular Season
Fr;30.09.2016;19:45;SC Bern;EV Zug; 7:4; 3:0|2:3|2:1;;Ende;False;PostFinance-Arena, 3014 Bern BE;15476;20171105071049;NL A;CH;Regular Season
Fr;30.09.2016;19:45;HC Davos;Genève-Servette HC; 2:3; 1:1|1:0|0:2;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;3436;20171105071050;NL A;CH;Regular Season
Fr;30.09.2016;19:45;Fribourg-Gottéron;EHC Kloten; 2:5; 1:0|1:1|0:4;;Ende;False;BCF Arena, 1700 Fribourg FR;5390;20171105071051;NL A;CH;Regular Season
Fr;30.09.2016;19:45;Lausanne HC;HC Lugano; 3:5; 1:0|0:4|2:1;;Ende;False;P. de Malley, 1008 Lausanne VD;6543;20171105071052;NL A;CH;Regular Season
Fr;30.09.2016;19:45;SCL Tigers;EHC Biel-Bienne; 2:5; 0:1|2:0|0:4;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5702;20171105071053;NL A;CH;Regular Season
Fr;30.09.2016;19:45;ZSC Lions;HC Ambri-Piotta; 2:3; 1:1|1:1|0:0|0:1;OT;Ende;False;Hallenstadion, 8050 Zürich ZH;8132;20171105071054;NL A;CH;Regular Season
Sa;01.10.2016;19:45;HC Ambri-Piotta;HC Davos; 3:4; 2:0|0:1|1:3;;Ende;False;Stadio Valascia, 6775 Ambri TI;5336;20171105071055;NL A;CH;Regular Season
Sa;01.10.2016;19:45;EHC Biel-Bienne;ZSC Lions; 3:4; 2:1|1:1|0:1|0:1;OT;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5250;20171105071056;NL A;CH;Regular Season
Sa;01.10.2016;19:45;Genève-Servette HC;Lausanne HC; 5:3; 2:0|1:2|2:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;6721;20171105071057;NL A;CH;Regular Season
Sa;01.10.2016;19:45;EHC Kloten;SCL Tigers; 3:5; 0:1|1:2|2:2;;Ende;False;SWISS Arena, 8302 Kloten ZH;5207;20171105071058;NL A;CH;Regular Season
Sa;01.10.2016;19:45;HC Lugano;SC Bern; 4:3; 2:2|1:1|0:0|1:0;OT;Ende;False;Piste Resega, 6948 Porza Ti;5789;20171105071059;NL A;CH;Regular Season
Sa;01.10.2016;19:45;EV Zug;Fribourg-Gottéron; 4:2; 1:0|0:1|3:1;;Ende;False;BOSSARD Arena, 6303 Zug;6362;20171105071060;NL A;CH;Regular Season
Di;04.10.2016;19:45;SCL Tigers;HC Ambri-Piotta; 0:3; 0:0|0:2|0:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5694;20171105071113;NL A;CH;Regular Season
Fr;07.10.2016;19:45;SC Bern;Genève-Servette HC; 5:0; 2:0|1:0|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;15534;20171105071061;NL A;CH;Regular Season
Fr;07.10.2016;19:45;HC Davos;SCL Tigers; 2:3; 1:0|0:0|1:2|0:1;OT;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;3899;20171105071062;NL A;CH;Regular Season
Fr;07.10.2016;19:45;Fribourg-Gottéron;ZSC Lions; 5:4; 1:2|1:1|2:1|1:0;OT;Ende;False;BCF Arena, 1700 Fribourg FR;5255;20171105071063;NL A;CH;Regular Season
Fr;07.10.2016;19:45;EV Zug;EHC Kloten; 4:1; 0:0|1:0|3:1;;Ende;False;BOSSARD Arena, 6303 Zug;6126;20171105071066;NL A;CH;Regular Season
Sa;08.10.2016;19:45;EHC Biel-Bienne;Lausanne HC; 5:3; 3:1|0:0|2:2;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5381;20171105071068;NL A;CH;Regular Season
Sa;08.10.2016;19:45;Genève-Servette HC;EV Zug; 1:2; 1:1|0:1|0:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;6257;20171105071069;NL A;CH;Regular Season
Sa;08.10.2016;19:45;SCL Tigers;Fribourg-Gottéron; 3:0; 2:0|0:0|1:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;6000;20171105071071;NL A;CH;Regular Season
Sa;08.10.2016;19:45;ZSC Lions;HC Davos; 4:2; 0:1|3:0|1:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;9726;20171105071072;NL A;CH;Regular Season
Sa;08.10.2016;20:30;HC Ambri-Piotta;HC Lugano; 3:2; 1:1|1:1|0:0|1:0;OT;Ende;False;Stadio Valascia, 6775 Ambri TI;6500;20171105071067;NL A;CH;Regular Season
So;09.10.2016;15:45;HC Lugano;EHC Biel-Bienne; 3:1; 2:0|0:0|1:1;;Ende;False;Piste Resega, 6948 Porza Ti;6207;20171105071065;NL A;CH;Regular Season
Di;11.10.2016;19:45;Lausanne HC;HC Ambri-Piotta; 4:1; 0:0|1:1|3:0;;Ende;False;P. de Malley, 1008 Lausanne VD;5605;20171105071064;NL A;CH;Regular Season
Fr;14.10.2016;19:45;SC Bern;SCL Tigers; 4:1; 3:1|1:0|0:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;16790;20171105071073;NL A;CH;Regular Season
Fr;14.10.2016;19:45;HC Davos;Lausanne HC; 4:1; 1:1|3:0|0:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4024;20171105071074;NL A;CH;Regular Season
Fr;14.10.2016;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 3:2; 2:0|0:1|0:1|1:0;OT;Ende;False;BCF Arena, 1700 Fribourg FR;5674;20171105071075;NL A;CH;Regular Season
Fr;14.10.2016;19:45;EHC Kloten;EHC Biel-Bienne; 6:4; 2:2|1:1|3:1;;Ende;False;SWISS Arena, 8302 Kloten ZH;4867;20171105071076;NL A;CH;Regular Season
Fr;14.10.2016;19:45;HC Lugano;EV Zug; 4:3; 2:2|1:0|0:1|1:0;OT;Ende;False;Piste Resega, 6948 Porza Ti;5608;20171105071077;NL A;CH;Regular Season
Sa;15.10.2016;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 1:2; 0:0|1:1|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;5122;20171105071079;NL A;CH;Regular Season
