Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Sa;06.10.2018;19:45;Genève-Servette HC;HC Lugano; 3:0; 2:0|0:0|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;5606;MYSPORTS;20191105000045;NL;CH;Regular Season
Sa;06.10.2018;19:45;SC Rapperswil-Jona Lakers;EV Zug; 1:4; 0:1|0:3|1:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4021;MYSPORTS;20191105000046;NL;CH;Regular Season
Sa;06.10.2018;19:45;SCL Tigers;Fribourg-Gottéron; 0:2; 0:0|0:0|0:2;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5704;MYSPORTS;20191105000047;NL;CH;Regular Season
Di;09.10.2018;19:46;Genève-Servette HC;Lausanne HC; 2:1; 0:0|0:0|1:1|1:0;SO;Ende;False;Les Vernets, 1227 Les Acacias GE;6067;MYSPORTS;20191105000154;NL;CH;Regular Season
Fr;12.10.2018;19:45;HC Ambri-Piotta;HC Davos; 5:0; 2:0|2:0|1:0;;Ende;False;Stadio Valascia, 6775 Ambri TI;5344;MYSPORTS;20191105000049;NL;CH;Regular Season
Fr;12.10.2018;19:45;SC Bern;EV Zug; 3:0; 1:0|0:0|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;16178;MYSPORTS;20191105000050;NL;CH;Regular Season
Fr;12.10.2018;19:45;EHC Biel-Bienne;Genève-Servette HC; 5:1; 1:0|1:0|3:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5562;MYSPORTS;20191105000051;NL;CH;Regular Season
Fr;12.10.2018;19:45;Fribourg-Gottéron;HC Lugano; 2:1; 0:1|1:0|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5707;MYSPORTS;20191105000052;NL;CH;Regular Season
Fr;12.10.2018;19:45;SC Rapperswil-Jona Lakers;SCL Tigers; 0:2; 0:1|0:1|0:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;3795;MYSPORTS;20191105000053;NL;CH;Regular Season
Sa;13.10.2018;19:45;HC Davos;ZSC Lions; 2:3; 1:0|1:1|0:2;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4564;MYSPORTS;20191105000055;NL;CH;Regular Season
Sa;13.10.2018;19:45;Genève-Servette HC;Fribourg-Gottéron; 2:1; 1:0|0:0|1:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;6703;MYSPORTS;20191105000056;NL;CH;Regular Season
Sa;13.10.2018;19:45;HC Lugano;SC Rapperswil-Jona Lakers; 6:0; 1:0|4:0|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;6068;MYSPORTS;20191105000058;NL;CH;Regular Season
Sa;13.10.2018;19:45;SCL Tigers;SC Bern; 3:1; 1:0|1:1|1:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;6000;MYSPORTS;20191105000059;NL;CH;Regular Season
Sa;13.10.2018;19:45;EV Zug;EHC Biel-Bienne; 4:2; 0:1|2:1|2:0;;Ende;False;BOSSARD Arena, 6303 Zug;6849;MYSPORTS;20191105000060;NL;CH;Regular Season
So;14.10.2018;15:45;ZSC Lions;Lausanne HC; 2:1; 0:0|1:0|1:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;9313;MYSPORTS;20191105000054;NL;CH;Regular Season
Di;16.10.2018;19:45;Lausanne HC;HC Ambri-Piotta; 1:4; 1:1|0:0|0:3;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6116;MYSPORTS;20191105000057;NL;CH;Regular Season
Di;16.10.2018;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 3:0; 1:0|0:0|2:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5750;MYSPORTS;20191105000094;NL;CH;Regular Season
Fr;19.10.2018;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 2:1; 0:0|1:0|1:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;5511;MYSPORTS;20191105000061;NL;CH;Regular Season
Fr;19.10.2018;19:45;SC Bern;ZSC Lions; 3:2; 1:0|1:0|1:2;;Ende;False;PostFinance-Arena, 3014 Bern BE;15993;MYSPORTS;20191105000062;NL;CH;Regular Season
Fr;19.10.2018;19:45;EHC Biel-Bienne;HC Lugano; 3:2; 0:2|2:0|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5938;MYSPORTS;20191105000063;NL;CH;Regular Season
Fr;19.10.2018;19:45;Genève-Servette HC;HC Davos; 4:1; 1:0|1:0|2:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;5713;MYSPORTS,MYSPORTSONE;20191105000064;NL;CH;Regular Season
Fr;19.10.2018;19:45;Lausanne HC;Fribourg-Gottéron; 4:1; 0:0|2:0|2:1;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6700;MYSPORTS;20191105000065;NL;CH;Regular Season
Fr;19.10.2018;19:45;EV Zug;SCL Tigers; 4:1; 3:1|0:0|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;6746;MYSPORTS;20191105000066;NL;CH;Regular Season
