Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Fr;13.09.2019;19:45;HC Ambri-Piotta;EV Zug; 3:4; 0:2|2:1|1:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;5611;MYSPORTS;20201105000001;NL;CH;Regular Season
Fr;13.09.2019;19:45;SC Bern;SC Rapperswil-Jona Lakers; 6:3; 1:0|2:3|3:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;15135;MYSPORTS;20201105000002;NL;CH;Regular Season
Fr;13.09.2019;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 3:1; 0:0|1:0|2:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6135;MYSPORTS;20201105000003;NL;CH;Regular Season
Fr;13.09.2019;19:45;SCL Tigers;Genève-Servette HC; 1:3; 1:0|0:2|0:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5497;MYSPORTS;20201105000005;NL;CH;Regular Season
Fr;13.09.2019;19:45;ZSC Lions;HC Davos; 6:3; 0:1|2:2|4:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;10012;MYSPORTS,MYSPORTSONE;20201105000006;NL;CH;Regular Season
Fr;13.09.2019;19:55;HC Lugano;Lausanne HC; 2:5; 2:0|0:3|0:2;;Ende;False;Cornèr Arena, 6948 Porza Ti;6018;MYSPORTS;20201105000004;NL;CH;Regular Season
Sa;14.09.2019;19:45;Genève-Servette HC;EHC Biel-Bienne; 2:4; 2:1|0:0|0:3;;Ende;False;Les Vernets, 1227 Les Acacias GE;5331;MYSPORTS;20201105000009;NL;CH;Regular Season
Sa;14.09.2019;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 3:0; 1:0|2:0|0:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4315;MYSPORTS;20201105000010;NL;CH;Regular Season
Sa;14.09.2019;19:45;EV Zug;ZSC Lions; 5:4; 0:1|1:2|3:1|1:0;OT;Ende;False;BOSSARD Arena, 6303 Zug;6886;MYSPORTS;20201105000012;NL;CH;Regular Season
Di;17.09.2019;19:45;SC Bern;HC Ambri-Piotta; 4:1; 1:0|3:0|0:1;;Ende;False;PostFinance-Arena, 3014 Bern BE;15222;MYSPORTS;20201105000013;NL;CH;Regular Season
Di;17.09.2019;19:45;EHC Biel-Bienne;SC Rapperswil-Jona Lakers; 0:1; 0:0|0:0|0:0|0:1;OT;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4977;MYSPORTS;20201105000014;NL;CH;Regular Season
Di;17.09.2019;19:45;Genève-Servette HC;ZSC Lions; 3:0; 0:0|1:0|2:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;4606;MYSPORTS;20201105000016;NL;CH;Regular Season
Di;17.09.2019;19:45;SCL Tigers;Fribourg-Gottéron; 3:2; 1:2|1:0|1:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5335;MYSPORTS;20201105000017;NL;CH;Regular Season
Di;17.09.2019;19:45;EV Zug;Lausanne HC; 5:6; 1:4|2:1|2:1;;Ende;False;BOSSARD Arena, 6303 Zug;6312;MYSPORTS;20201105000018;NL;CH;Regular Season
Di;17.09.2019;19:45;HC Lugano;HC Davos; 2:3; 0:0|1:2|1:1;;Ende;False;Cornèr Arena, 6948 Porza Ti;5434;MYSPORTS;20201105000089;NL;CH;Regular Season
Fr;20.09.2019;19:45;HC Ambri-Piotta;Genève-Servette HC; 2:3; 1:0|1:2|0:0|0:1;SO;Ende;False;Stadio Valascia, 6775 Ambri TI;4578;MYSPORTS;20201105000019;NL;CH;Regular Season
Fr;20.09.2019;19:45;SC Bern;EHC Biel-Bienne; 1:2; 0:1|1:0|0:0|0:1;SO;Ende;False;PostFinance-Arena, 3014 Bern BE;16321;MYSPORTS,MYSPORTSONE;20201105000020;NL;CH;Regular Season
Fr;20.09.2019;19:45;SCL Tigers;EV Zug; 5:3; 2:1|1:2|2:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5538;MYSPORTS;20201105000023;NL;CH;Regular Season
