Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Di;07.09.2021;19:45;HC Ajoie;EHC Biel-Bienne; 1:3; 0:0|1:2|0:1;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;3325;MYSPORTS;20221105000001;NL;CH;Regular Season
Di;07.09.2021;19:45;SC Bern;Fribourg-Gottéron; 3:6; 0:2|2:0|1:4;;Ende;False;PostFinance-Arena, 3014 Bern BE;12700;MYSPORTS;20221105000002;NL;CH;Regular Season
Di;07.09.2021;19:45;ZSC Lions;Genève-Servette HC; 4:2; 0:0|3:0|1:2;;Ende;False;Hallenstadion, 8050 Zürich ZH;6882;MYSPORTS;20221105000003;NL;CH;Regular Season
Di;07.09.2021;19:45;EV Zug;HC Davos; 5:2; 2:0|0:0|3:2;;Ende;False;BOSSARD Arena, 6303 Zug;6427;MYSPORTS;20221105000006;NL;CH;Regular Season
Mi;08.09.2021;19:45;HC Lugano;SC Rapperswil-Jona Lakers; 2:0; 1:0|0:0|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;4872;MYSPORTS;20221105000005;NL;CH;Regular Season
Fr;10.09.2021;19:45;EHC Biel-Bienne;Lausanne HC; 3:2; 2:0|0:2|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4741;MYSPORTS;20221105000008;NL;CH;Regular Season
Fr;10.09.2021;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 3:1; 1:0|0:0|2:1;;Ende;False;BCF Arena, 1700 Fribourg FR;6579;MYSPORTS;20221105000009;NL;CH;Regular Season
Fr;10.09.2021;19:45;HC Lugano;SCL Tigers; 1:4; 0:1|0:1|1:2;;Ende;False;Cornèr Arena, 6948 Porza Ti;4761;MYSPORTS;20221105000011;NL;CH;Regular Season
Fr;10.09.2021;19:45;ZSC Lions;HC Ambri-Piotta; 1:2; 0:0|0:0|1:1|0:1;OT;Ende;False;Hallenstadion, 8050 Zürich ZH;7384;MYSPORTS;20221105000012;NL;CH;Regular Season
Fr;10.09.2021;19:49;SC Bern;EV Zug; 3:4; 0:2|1:2|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;12571;MYSPORTS;20221105000007;NL;CH;Regular Season
Sa;11.09.2021;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 6:2; 3:1|2:1|1:0;;Ende;False;Gottardo Arena, 6775 Ambri TI;6775;MYSPORTS;20221105000013;NL;CH;Regular Season
Sa;11.09.2021;19:45;HC Davos;SC Bern; 3:1; 0:0|1:0|2:1;;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;3842;MYSPORTS;20221105000014;NL;CH;Regular Season
Sa;11.09.2021;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; 4:6; 2:1|0:1|2:4;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;3127;MYSPORTS;20221105000015;NL;CH;Regular Season
Sa;11.09.2021;19:45;SCL Tigers;Genève-Servette HC; 4:5; 0:1|3:2|1:1|0:1;SO;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;4258;MYSPORTS;20221105000017;NL;CH;Regular Season
Sa;11.09.2021;19:45;EV Zug;ZSC Lions; 5:4; 3:2|1:1|0:1|1:0;OT;Ende;False;BOSSARD Arena, 6303 Zug;6652;MYSPORTS;20221105000018;NL;CH;Regular Season
Di;14.09.2021;19:45;HC Ajoie;HC Lugano; 2:7; 0:3|1:3|1:1;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;2843;MYSPORTS;20221105000019;NL;CH;Regular Season
Di;14.09.2021;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 4:3; 0:1|0:2|3:0|1:0;OT;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4338;MYSPORTS;20221105000020;NL;CH;Regular Season
Di;14.09.2021;19:45;Genève-Servette HC;SC Bern; 3:1; 1:0|2:1|0:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;4137;MYSPORTS;20221105000021;NL;CH;Regular Season
Di;14.09.2021;19:45;SCL Tigers;HC Ambri-Piotta; 1:3; 0:3|1:0|0:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;4248;MYSPORTS;20221105000023;NL;CH;Regular Season
Di;14.09.2021;19:45;EV Zug;Lausanne HC; 3:1; 1:0|1:1|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;6100;MYSPORTS;20221105000024;NL;CH;Regular Season
Fr;17.09.2021;19:45;HC Ambri-Piotta;EV Zug; 1:4; 1:1|0:2|0:1;;Ende;False;Gottardo Arena, 6775 Ambri TI;6214;MYSPORTS;20221105000025;NL;CH;Regular Season
Fr;17.09.2021;19:45;SC Bern;SCL Tigers; 8:1; 2:1|3:0|3:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;13131;MYSPORTS;20221105000026;NL;CH;Regular Season
Fr;17.09.2021;19:45;HC Davos;SC Rapperswil-Jona Lakers; 5:3; 3:0|1:2|1:1;;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;3028;MYSPORTS;20221105000027;NL;CH;Regular Season
Fr;17.09.2021;19:45;Lausanne HC;Genève-Servette HC; 2:1; 1:0|0:0|0:1|1:0;OT;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;7007;MYSPORTS;20221105000028;NL;CH;Regular Season
