Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Di;09.03.2021;19:45;Genève-Servette HC;HC Ambri-Piotta; 5:0; 2:0|2:0|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000278;NL;CH;Regular Season
Di;09.03.2021;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 5:4; 3:0|1:2|1:2;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000312;NL;CH;Regular Season
Fr;12.03.2021;19:45;HC Ambri-Piotta;HC Lugano; 1:3; 0:0|1:2|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;0;RSI,MYSPORTS;20211105000283;NL;CH;Regular Season
Fr;12.03.2021;19:45;SC Bern;SCL Tigers; 4:3; 2:1|1:1|1:1;;Ende;False;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000284;NL;CH;Regular Season
Fr;12.03.2021;19:45;HC Davos;SC Rapperswil-Jona Lakers; 3:2; 2:2|0:0|0:0|1:0;SO;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105000286;NL;CH;Regular Season
Fr;12.03.2021;19:45;Fribourg-Gottéron;Genève-Servette HC; 1:2; 0:1|1:1|0:0;;Ende;False;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000287;NL;CH;Regular Season
Sa;13.03.2021;19:45;Genève-Servette HC;EHC Biel-Bienne; 1:4; 0:1|0:2|1:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;SRF,RTS,RSI,MYSPORTS;20211105000289;NL;CH;Regular Season
Sa;13.03.2021;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 3:1; 1:1|0:0|2:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000290;NL;CH;Regular Season
Sa;13.03.2021;19:45;Lausanne HC;Fribourg-Gottéron; 1:2; 0:1|1:1|0:0;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000291;NL;CH;Regular Season
Sa;13.03.2021;19:45;ZSC Lions;SC Bern; 2:5; 0:2|1:1|1:2;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;MYSPORTS;20211105000294;NL;CH;Regular Season
Mo;15.03.2021;19:45;EHC Biel-Bienne;SC Bern; 5:3; 2:0|0:2|3:1;;Ende;True;Tissot Arena, 2504 Biel/Bienne BE;0;MYSPORTS;20211105000211;NL;CH;Regular Season
